"year","number","name","seasonal.status","Municipality","total_docks","station.id","n_institutions_1km","n_mbta_1km","Lat","Long","population","month","avg_TMIN","avg_TMAX","avg_precip","total_trips","membership_total"
2020,"A32045","Boston Landing","Year Round","Boston",17,440,0,8,42.35656092,-71.14167538,675466,6,60.6,77.8,0.09,47,29
2020,"A32045","Boston Landing","Year Round","Boston",17,440,0,8,42.35656092,-71.14167538,675466,7,67.8,82.8,0.06,47,29
2020,"A32045","Boston Landing","Year Round","Boston",17,440,0,8,42.35656092,-71.14167538,675466,8,66.3,81.9,0.07,47,29
2020,"A32045","Boston Landing","Year Round","Boston",17,440,0,8,42.35656092,-71.14167538,675466,9,57.3,73.8,0.03,47,29
2020,"A32046","Canal St at Causeway St","Winter Storage","Boston",23,459,5,23,42.365301,-71.060922,675466,6,60.6,77.8,0.09,82,47
2020,"A32046","Canal St at Causeway St","Winter Storage","Boston",23,459,5,23,42.365301,-71.060922,675466,7,67.8,82.8,0.06,82,47
2020,"A32046","Canal St at Causeway St","Winter Storage","Boston",23,459,5,23,42.365301,-71.060922,675466,8,66.3,81.9,0.07,82,47
2020,"A32046","Canal St at Causeway St","Winter Storage","Boston",23,459,5,23,42.365301,-71.060922,675466,9,57.3,73.8,0.03,82,47
2020,"A32047","Broad St at Central St","Winter Storage","Boston",15,460,5,32,42.35849449,-71.0542647,675466,6,60.6,77.8,0.09,21,11
2020,"A32047","Broad St at Central St","Winter Storage","Boston",15,460,5,32,42.35849449,-71.0542647,675466,7,67.8,82.8,0.06,21,11
2020,"A32047","Broad St at Central St","Winter Storage","Boston",15,460,5,32,42.35849449,-71.0542647,675466,8,66.3,81.9,0.07,21,11
2020,"A32047","Broad St at Central St","Winter Storage","Boston",15,460,5,32,42.35849449,-71.0542647,675466,9,57.3,73.8,0.03,21,11
2020,"A32048","Marion St at White St","Year Round","Boston",19,477,0,9,42.38066931,-71.03907316,675466,6,60.6,77.8,0.09,0,0
2020,"A32048","Marion St at White St","Year Round","Boston",19,477,0,9,42.38066931,-71.03907316,675466,7,67.8,82.8,0.06,0,0
2020,"A32048","Marion St at White St","Year Round","Boston",19,477,0,9,42.38066931,-71.03907316,675466,8,66.3,81.9,0.07,0,0
2020,"A32048","Marion St at White St","Year Round","Boston",19,477,0,9,42.38066931,-71.03907316,675466,9,57.3,73.8,0.03,0,0
2020,"A32049","Gove St at Orleans St","Year Round","Boston",19,478,0,13,42.37057753,-71.0355854,675466,6,60.6,77.8,0.09,0,0
2020,"A32049","Gove St at Orleans St","Year Round","Boston",19,478,0,13,42.37057753,-71.0355854,675466,7,67.8,82.8,0.06,0,0
2020,"A32049","Gove St at Orleans St","Year Round","Boston",19,478,0,13,42.37057753,-71.0355854,675466,8,66.3,81.9,0.07,0,0
2020,"A32049","Gove St at Orleans St","Year Round","Boston",19,478,0,13,42.37057753,-71.0355854,675466,9,57.3,73.8,0.03,0,0
2020,"A32050","Porzio Park","Year Round","Boston",17,483,0,5,42.36411904,-71.02876782,675466,6,60.6,77.8,0.09,0,0
2020,"A32050","Porzio Park","Year Round","Boston",17,483,0,5,42.36411904,-71.02876782,675466,7,67.8,82.8,0.06,0,0
2020,"A32050","Porzio Park","Year Round","Boston",17,483,0,5,42.36411904,-71.02876782,675466,8,66.3,81.9,0.07,0,0
2020,"A32050","Porzio Park","Year Round","Boston",17,483,0,5,42.36411904,-71.02876782,675466,9,57.3,73.8,0.03,0,0
2020,"A32051","Day Sq","Year Round","Boston",16,489,0,6,42.379295,-71.027733,675466,6,60.6,77.8,0.09,0,0
2020,"A32051","Day Sq","Year Round","Boston",16,489,0,6,42.379295,-71.027733,675466,7,67.8,82.8,0.06,0,0
2020,"A32051","Day Sq","Year Round","Boston",16,489,0,6,42.379295,-71.027733,675466,8,66.3,81.9,0.07,0,0
2020,"A32051","Day Sq","Year Round","Boston",16,489,0,6,42.379295,-71.027733,675466,9,57.3,73.8,0.03,0,0
2020,"A32052","Harvard Stadium: N. Harvard St at Soldiers Field Rd","Year Round","Boston",15,492,1,12,42.368019,-71.1242,675466,6,60.6,77.8,0.09,0,0
2020,"A32052","Harvard Stadium: N. Harvard St at Soldiers Field Rd","Year Round","Boston",15,492,1,12,42.368019,-71.1242,675466,7,67.8,82.8,0.06,0,0
2020,"A32052","Harvard Stadium: N. Harvard St at Soldiers Field Rd","Year Round","Boston",15,492,1,12,42.368019,-71.1242,675466,8,66.3,81.9,0.07,0,0
2020,"A32052","Harvard Stadium: N. Harvard St at Soldiers Field Rd","Year Round","Boston",15,492,1,12,42.368019,-71.1242,675466,9,57.3,73.8,0.03,0,0
2020,"A32053","Valenti Way at Haverhill St","Year Round","Boston",24,549,4,23,42.36473899,-71.05934903,675466,6,60.6,77.8,0.09,0,0
2020,"A32053","Valenti Way at Haverhill St","Year Round","Boston",24,549,4,23,42.36473899,-71.05934903,675466,7,67.8,82.8,0.06,0,0
2020,"A32053","Valenti Way at Haverhill St","Year Round","Boston",24,549,4,23,42.36473899,-71.05934903,675466,8,66.3,81.9,0.07,0,0
2020,"A32053","Valenti Way at Haverhill St","Year Round","Boston",24,549,4,23,42.36473899,-71.05934903,675466,9,57.3,73.8,0.03,0,0
2020,"A32054","Addison St at Saratoga St","Winter Storage","Boston",19,563,0,5,42.38518147,-71.0151367,675466,6,60.6,77.8,0.09,0,0
2020,"A32054","Addison St at Saratoga St","Winter Storage","Boston",19,563,0,5,42.38518147,-71.0151367,675466,7,67.8,82.8,0.06,0,0
2020,"A32054","Addison St at Saratoga St","Winter Storage","Boston",19,563,0,5,42.38518147,-71.0151367,675466,8,66.3,81.9,0.07,0,0
2020,"A32054","Addison St at Saratoga St","Winter Storage","Boston",19,563,0,5,42.38518147,-71.0151367,675466,9,57.3,73.8,0.03,0,0
